Name,Age,Nationality,Club,Value,International Reputation,Jersey Number,Position,Preferred Foot,Body Type,Joined,Height,Weight,Crossing,Acceleration,SprintSpeed,Agility,Balance,ShotPower,Jumping,Stamina,Strength,Penalties,Overall
Rafinha,25,Brazil,FC Barcelona,2950000,2,12,CAM,Left,Normal,2013,5'9,157lbs,72,71,70,80,80,79,73,67,66,67,82
Morata,25,Spain,Chelsea,2850000,3,7,ST,Right,Normal,2017,6'2,187lbs,73,76,86,66,60,80,84,68,78,70,82
J. Cillessen,29,Netherlands,FC Barcelona,1800000,3,1,GK,Right,Normal,2016,6'1,183lbs,17,54,50,48,50,35,71,40,67,21,82
T. Delaney,26,Denmark,Borussia Dortmund,2150000,2,8,LCM,Left,Normal,2018,6'0,174lbs,67,76,78,73,74,78,91,90,79,60,82
M. Gotze,26,Germany,Borussia Dortmund,2700000,4,10,CM,Right,Normal,2016,5'9,165lbs,78,74,64,86,85,68,58,73,68,77,82
S. Mustafi,26,Germany,Arsenal,2250000,3,20,RCB,Right,Normal,2016,6'0,181lbs,53,58,65,63,67,66,83,68,78,54,82
Pedro,30,Spain,Chelsea,2100000,3,11,RW,Right,Lean,2015,5'7,143lbs,78,79,74,82,80,77,66,70,47,66,82
R. Borrki,27,Switzerland,Borussia Dortmund,1850000,3,21,GK,Right,Normal,2015,6'2,187lbs,15,44,54,49,52,22,74,36,74,20,82
A. Ramsey,27,Wales,Arsenal,2500000,3,10,CAM,Right,Lean,2008,6'0,168lbs,75,64,69,73,74,81,66,89,67,75,82
K. Trippier,27,England,Tottenham Hotspur,1850000,2,12,RB,Right,Normal,2015,5'10,159lbs,91,76,75,74,74,75,73,88,65,66,82
G. Sigursson,28,Iceland,Everton,2250000,3,10,CAM,Right,Normal,2017,6'1,181lbs,86,58,55,68,63,83,68,86,68,79,82
J. Henderson,28,England,Liverpool,1800000,2,8,RCM,Right,Normal,2011,6'0,176lbs,81,67,66,70,70,77,79,91,72,64,82
G. Wijnaldum,27,Netherlands,Liverpool,1250000,3,8,CAM,Right,Lean,2016,5'9,152lbs,67,77,76,80,81,76,80,85,72,74,82
O. Giroud,31,France,Chelsea,2000000,3,9,ST,Left,Normal,2018,6'4,203lbs,64,43,50,57,54,85,84,62,88,83,82
L. Koscielny,32,France,Arsenal,1250000,3,6,CB,Right,Lean,2010,6'1,165lbs,52,64,66,65,61,54,78,62,75,51,82
Dani Alves,35,Brazil,Paris Saint-Germain,480000,4,13,RB,Right,Normal,2017,5'8,150lbs,85,77,79,84,87,86,80,74,55,70,82
P. ƒåech,36,Czech Republic,Arsenal,300000,4,1,GK,Left,Normal,2015,6'5,198lbs,19,35,38,46,34,21,50,32,63,23,82
M. Rashford,20,England,Manchester United,2700000,2,11,LW,Right,Lean,2014,6'1,154lbs,75,90,93,88,77,87,68,79,71,74,81
M. Akanji,22,Switzerland,Borussia Dortmund,2100000,2,5,LCB,Right,Normal,2018,6'2,187lbs,51,72,86,69,66,58,78,76,84,40,81
Nellson Semedo,24,Portugal,FC Barcelona,2000000,2,2,RB,Right,Lean,2017,5'10,148lbs,74,91,92,88,83,74,80,91,62,38,81
E. Bailly,24,Ivory Coast,Manchester United,2100000,2,2,CB,Right,Normal,2016,6'1,170lbs,51,68,79,65,62,55,85,72,85,46,81
Dani Ceballos,21,Spain,Real Madrid,2500000,1,21,LCM,Right,Normal,2017,5'10,154lbs,74,73,67,82,79,64,52,75,62,55,81
A. Correa,23,Argentina,Atletico Madrid,2450000,1,11,RM,Right,Lean,2014,5'7,150lbs,74,87,82,87,83,80,50,74,63,55,81
A. Christensen,22,Denmark,Chelsea,2150000,2,6,LCB,Right,Lean,2013,6'2,179lbs,49,66,70,61,61,31,72,69,73,36,81
R. Guerreiro,24,Portugal,Borussia Dortmund,2400000,3,13,LM,Left,Normal,2016,5'7,157lbs,85,82,68,88,86,79,63,72,49,44,81
B. Davies,25,Wales,Tottenham Hotspur,1850000,2,4,LB,Left,Lean,2014,6'0,168lbs,83,76,74,70,68,65,73,85,69,54,81
B. Mendy,23,France,Manchester City,2000000,2,22,LB,Left,Normal,2017,6'1,187lbs,87,77,86,68,70,79,71,81,81,50,81
Paco Alcacer,24,Spain,Borussia Dortmund,2350000,2,9,ST,Right,Normal,2018,5'9,159lbs,53,82,80,83,84,80,75,65,64,71,81
Vitolo,28,Spain,Atletico Madrid,1800000,2,23,LM,Right,Normal,2017,6'1,174lbs,78,78,77,74,63,77,70,80,81,74,81
G. Xhaka,25,Switzerland,Arsenal,2200000,3,10,LDM,Left,Normal,2016,6'1,181lbs,71,47,49,49,61,88,32,80,75,63,81
D. Lovren,28,Croatia,Liverpool,1600000,2,6,RCB,Right,Normal,2014,6'2,185lbs,59,54,55,50,41,63,81,68,82,52,81
X. Shaqiri,26,Switzerland,Liverpool,1900000,3,23,CAM,Left,Shaqiri,2018,5'7,159lbs,78,84,77,84,91,87,52,75,73,65,81
A. Areola,25,France,Paris Saint-Germain,1650000,2,23,GK,Right,Lean,2010,6'5,207lbs,20,54,52,53,58,25,59,28,80,25,81
Ander Herrera,28,Spain,Manchester United,1750000,3,21,CM,Right,Lean,2014,6'0,154lbs,74,75,68,79,78,75,61,87,67,79,81
C. Smalling,28,England,Manchester United,1600000,3,12,RCB,Right,Lean,2010,6'4,179lbs,52,61,74,55,45,42,76,71,87,52,81
S. Kagawa,29,Japan,Borussia Dortmund,1750000,3,23,CAM,Right,Lean,2014,5'9,150lbs,65,74,60,87,88,54,65,82,39,80,81
O. Toprak,28,Turkey,Borussia Dortmund,1600000,3,36,CB,Right,Normal,2017,6'1,183lbs,49,71,83,64,61,62,80,67,78,43,81
L. Piszczek,33,Poland,Borussia Dortmund,700000,3,26,RB,Right,Normal,2020,6'0,174lbs,82,74,83,66,66,78,77,77,78,65,81
E. Lamela,26,Argentina,Tottenham Hotspur,2100000,2,22,RM,Left,Lean,2013,6'0,176lbs,78,76,74,75,74,81,63,78,68,75,81
D. Rose,27,England,Tottenham Hotspur,1450000,3,3,LB,Left,Normal,2007,5'9,168lbs,82,79,78,69,76,68,75,78,72,57,81
A. Valencia,32,Ecuador,Manchester United,1000000,2,16,RM,Right,Stocky,2009,5'11,183lbs,79,82,85,72,78,85,69,79,79,55,81
Jojo Moutinho,31,Portugal,Wolverhampton Wanderers,1500000,3,28,RCM,Right,Normal,2018,5'7,134lbs,77,66,59,76,84,76,77,78,63,70,81
J. Milner,32,England,Liverpool,1350000,2,7,CM,Right,Stocky,2015,5'9,154lbs,86,63,62,69,73,82,62,91,71,83,81
M. Gomez,21,Uruguay,RC Celta,2050000,1,18,ST,Right,Stocky,2017,6'1,185lbs,56,61,65,45,53,79,73,71,80,67,80
Odriozola,22,Spain,Real Madrid,1850000,1,19,RB,Right,Lean,2018,5'9,146lbs,81,80,82,78,79,58,71,80,63,62,80
R√∫ben Neves,21,Portugal,Wolverhampton Wanderers,2050000,2,5,LCM,Right,Normal,2017,5'11,176lbs,75,64,64,65,70,83,68,78,70,62,80
Mariano,24,Dominican Republic,Real Madrid,2000000,1,7,ST,Right,Normal,2018,5'11,168lbs,50,84,85,79,72,85,92,81,79,75,80
M. Dahoud,22,Germany,Borussia Dortmund,2000000,2,19,CM,Right,Lean,2017,5'10,150lbs,67,78,67,87,84,83,76,89,58,55,80
Andrew Gomes,24,Portugal,Everton,1950000,3,8,LDM,Right,Normal,2017,6'2,185lbs,61,68,62,67,64,80,58,76,86,55,80
E. Can,24,Germany,Juventus,1950000,2,23,CM,Right,Normal,2018,6'0,181lbs,70,69,73,73,71,81,76,85,83,60,80
M. Keane,25,England,Everton,1550000,2,4,RCB,Right,Normal,2017,6'3,181lbs,60,58,65,59,62,58,82,68,85,48,80
L. Shaw,22,England,Manchester United,1650000,2,23,LB,Left,Stocky,2014,5'11,165lbs,82,83,85,74,74,65,73,77,75,53,80
S. Haller,24,France,Eintracht Frankfurt,1900000,1,9,RS,Right,Normal,2017,6'3,201lbs,40,68,76,68,53,77,80,72,91,88,80
Bernard,25,Brazil,Everton,1750000,2,20,LM,Right,Lean,2018,5'5,132lbs,77,94,86,94,96,76,61,68,34,57,80
Hwcctor Bellercen,23,Spain,Arsenal,1650000,3,2,RB,Right,Lean,2014,5'10,163lbs,76,94,91,82,77,52,63,84,58,62,80
E. Dier,24,England,Tottenham Hotspur,1650000,2,4,CDM,Right,Normal,2014,6'2,198lbs,67,62,68,52,38,82,77,78,89,70,80
L. Digne,24,France,Everton,1600000,2,12,LB,Left,Lean,2018,5'10,163lbs,82,76,75,68,79,77,73,79,69,60,80
A. Oxlade-Chamberlain,24,England,Liverpool,1950000,2,21,CM,Right,Stocky,2017,5'9,154lbs,78,84,85,81,88,80,69,82,72,69,80
S. Aurier,25,Ivory Coast,Tottenham Hotspur,1550000,2,17,RB,Right,Normal,2017,5'9,168lbs,83,79,78,73,76,71,94,77,74,64,80
J. Matip,26,Cameroon,Liverpool,1500000,2,32,CB,Right,Lean,2016,6'4,198lbs,54,55,69,55,47,66,66,73,77,42,80
Hugo Mallo,27,Spain,RC Celta,1350000,2,2,RB,Right,Normal,2009,5'9,159lbs,84,71,71,77,66,74,82,91,69,23,80
K. Trapp,27,Germany,Eintracht Frankfurt,1150000,2,31,GK,Right,Normal,2017,6'2,190lbs,13,45,52,42,37,22,75,45,73,17,80
V. Wanyama,27,Kenya,Tottenham Hotspur,1450000,2,12,CDM,Right,Normal,2016,6'0,192lbs,62,54,61,68,65,79,79,78,92,65,80
S. Ulreich,29,Germany,FC Bayern Munchen,1000000,2,26,GK,Right,Lean,2015,6'4,185lbs,14,41,40,34,39,24,66,29,41,22,80
F. Delph,28,England,Manchester City,1150000,2,18,LB,Left,Lean,2015,5'9,172lbs,74,75,72,87,86,82,67,87,65,65,80
A. Lallana,30,England,Liverpool,1350000,3,20,CM,Right,Lean,2014,5'10,161lbs,74,70,69,78,75,72,70,77,64,70,80
S. Coleman,29,Republic of Ireland,Everton,1100000,2,2,RWB,Right,Normal,2009,5'10,148lbs,82,77,75,73,74,75,71,77,69,55,80
Nacho Monreal,32,Spain,Arsenal,800000,2,18,LB,Left,Lean,2013,5'10,159lbs,76,72,67,70,73,74,74,74,65,61,80
S. Romero,31,Argentina,Manchester United,900000,3,1,GK,Right,Normal,2015,6'4,192lbs,11,47,44,52,44,14,63,35,75,16,80
D. Sturridge,28,England,Liverpool,1550000,3,15,ST,Left,Normal,2013,5'11,168lbs,62,72,78,74,64,82,70,55,66,75,80
G. Cahill,32,England,Chelsea,850000,3,24,CB,Right,Normal,2012,6'4,194lbs,28,42,48,51,47,63,80,61,79,53,80
L. Diarra,33,France,Paris Saint-Germain,600000,3,19,CDM,Right,Normal,2018,5'9,163lbs,60,69,69,79,87,74,76,85,68,49,80
Juanfran,33,Spain,Atletico Madrid,550000,3,20,RB,Right,Lean,2011,5'11,157lbs,81,74,86,74,63,68,68,80,74,66,80
Richarlison,21,Brazil,Everton,1800000,1,30,ST,Right,Normal,2018,5'11,154lbs,69,83,85,78,74,80,80,78,76,69,79
C. Pulisic,19,United States,Borussia Dortmund,600000,3,10,RM,Right,Lean,2016,5'10,152lbs,69,93,88,87,89,79,84,74,52,61,79
Marcos Llorente,23,Spain,Real Madrid,1600000,1,18,CDM,Right,Lean,2014,6'0,161lbs,56,61,59,58,66,58,66,75,72,53,79
A. Diallo,22,France,Borussia Dortmund,1500000,2,4,LCB,Left,Lean,2018,6'1,174lbs,66,75,77,75,69,43,84,76,78,41,79
J. Weigl,22,Germany,Borussia Dortmund,1450000,3,33,CDM,Right,Lean,2015,6'1,159lbs,58,72,59,77,65,48,67,80,63,50,79
V. Lindel√∂f,23,Sweden,Manchester United,1450000,2,3,CB,Right,Lean,2017,6'2,176lbs,64,68,77,66,63,68,75,75,77,55,79
A. Rebiƒá,24,Croatia,Eintracht Frankfurt,1600000,1,4,CAM,Right,Normal,2017,6'1,172lbs,74,83,86,75,66,81,66,80,83,63,79
M. Philipp,24,Germany,Borussia Dortmund,1700000,2,20,ST,Right,Lean,2017,6'0,174lbs,66,84,79,83,75,82,59,68,68,75,79
D. Zappacosta,26,Italy,Chelsea,1250000,2,21,RB,Right,Lean,2017,6'0,159lbs,81,74,79,72,73,75,67,87,68,59,79
Jonny,24,Spain,Wolverhampton Wanderers,1350000,2,19,LWB,Right,Normal,2017,5'7,154lbs,77,77,78,72,78,66,75,83,64,46,79
S. Kolainac,25,Bosnia Herzegovina,Arsenal,1300000,2,31,LB,Left,Stocky,2017,6'0,187lbs,77,68,75,49,55,82,76,79,90,44,79
Denis Suarez,24,Spain,FC Barcelona,1750000,2,6,CM,Right,Lean,2016,5'9,152lbs,77,77,77,82,76,75,58,72,57,63,79
K. Zouma,23,France,Everton,1400000,2,22,CB,Right,Normal,2017,6'3,212lbs,49,60,70,45,52,63,89,63,91,59,79
M. Rojo,28,Argentina,Manchester United,1000000,3,16,CB,Left,Normal,2014,6'2,176lbs,74,68,69,68,63,80,82,68,77,64,79
L. Kurzawa,25,France,Paris Saint-Germain,1300000,2,20,LB,Left,Lean,2015,6'0,168lbs,79,79,74,75,72,69,82,79,72,54,79
M. van Ginkel,25,Netherlands,Chelsea,1450000,2,26,CM,Right,Lean,2013,6'1,181lbs,71,62,69,71,59,79,74,76,71,84,79
Danilo,26,Brazil,Manchester City,1200000,2,3,RB,Right,Lean,2017,6'0,172lbs,74,73,76,70,65,85,74,82,76,67,79
R. Barkley,24,England,Chelsea,1600000,2,15,CAM,Right,Normal,2018,6'1,192lbs,65,69,70,66,58,81,62,69,77,65,79
P. Jones,26,England,Manchester United,1200000,2,4,CB,Right,Normal,2011,6'1,157lbs,60,54,59,52,59,68,82,64,79,55,79
C. Tosun,27,Turkey,Everton,1450000,2,9,ST,Right,Normal,2018,6'0,172lbs,64,72,75,73,66,83,80,73,74,82,79
N. Clyne,27,England,Liverpool,1150000,2,2,RB,Right,Normal,2015,5'9,148lbs,78,77,78,79,75,74,69,76,67,46,79
M. Hitz,30,Switzerland,Borussia Dortmund,800000,2,35,GK,Right,Normal,2018,6'4,196lbs,12,41,46,41,31,38,67,39,78,22,79
D. Drinkwater,28,England,Chelsea,1250000,2,6,CM,Right,Normal,2017,5'10,179lbs,64,63,63,67,76,77,54,77,69,53,79
N. Kaliniƒá,30,Croatia,Atletico Madrid,1200000,3,9,ST,Right,Lean,2018,6'2,176lbs,60,67,73,69,58,76,68,71,77,70,79
Kiko Casilla,31,Spain,Real Madrid,750000,2,13,GK,Right,Normal,2015,6'3,190lbs,24,32,49,43,58,24,69,43,79,23,79
M. Schneiderlin,28,France,Everton,1000000,2,18,CDM,Right,Lean,2017,6'1,165lbs,65,58,58,69,69,71,68,79,75,56,79
M. Fellaini,30,Belgium,Manchester United,1150000,3,8,CM,Right,Lean,2013,6'4,187lbs,61,41,48,47,49,75,64,75,91,64,79
S. Mignolet,30,Belgium,Liverpool,800000,3,12,GK,Right,Normal,2013,6'4,192lbs,11,50,52,34,52,45,69,31,72,41,79
T. Walcott,29,England,Everton,1250000,3,11,RM,Right,Lean,2018,5'9,150lbs,72,89,89,79,77,76,65,69,56,74,79
D. Abraham,31,Argentina,Eintracht Frankfurt,850000,2,19,CB,Right,Normal,2015,6'2,185lbs,44,76,79,61,55,74,77,68,80,54,79
A. Young,32,England,Manchester United,700000,2,18,LB,Right,Lean,2011,5'9,143lbs,84,77,72,77,76,75,55,75,67,60,79
S. Lichtsteiner,34,Switzerland,Arsenal,360000,3,2,RB,Right,Lean,2018,6'0,168lbs,78,65,69,73,77,74,73,76,70,64,79
A. Hakimi,19,Morocco,Borussia Dortmund,1250000,1,5,LB,Right,Normal,2017,5'11,161lbs,76,89,91,75,75,75,69,84,73,46,78
L. Joviƒá,20,Serbia,Eintracht Frankfurt,1550000,1,8,LS,Right,Normal,2008,6'0,192lbs,63,75,77,74,65,79,66,69,76,60,78
T. Alexander-Arnold,19,England,Liverpool,1400000,1,14,RB,Right,Lean,2015,5'11,152lbs,83,82,79,74,74,70,66,79,62,55,78
Vallejo,21,Spain,Real Madrid,1350000,1,3,CB,Right,Lean,2015,6'0,174lbs,41,67,74,69,69,49,77,66,69,45,78
J. Gomez,21,England,Liverpool,1450000,1,16,CB,Right,Normal,2015,6'2,170lbs,69,80,83,64,66,41,66,74,80,26,78
Diogo Jota,21,Portugal,Wolverhampton Wanderers,1550000,2,18,LW,Right,Lean,2018,5'10,161lbs,65,87,76,87,87,78,66,82,72,61,78
Y. Mina,23,Colombia,Everton,1250000,1,13,LCB,Right,Normal,2018,6'5,207lbs,43,45,62,53,34,70,70,79,87,53,78
S. Lobotka,23,Slovakia,RC Celta,1400000,1,14,CM,Right,Normal,2017,5'7,141lbs,63,70,63,78,84,62,82,86,52,56,78
M. Sportiello,26,Italy,Frosinone,900000,2,57,GK,Right,Lean,2009,6'4,192lbs,13,48,38,55,58,19,68,37,66,21,78
A. Iwobi,22,Nigeria,Arsenal,1400000,1,17,LM,Right,Normal,2013,6'1,165lbs,67,80,77,76,75,67,47,74,70,59,78
L. Dendoncker,23,Belgium,Wolverhampton Wanderers,1200000,2,20,CB,Right,Normal,2012,6'2,194lbs,75,61,68,57,53,86,66,89,87,44,78
P. Sisto,23,Denmark,RC Celta,1400000,1,23,LW,Right,Lean,2016,5'8,152lbs,78,81,81,82,84,82,82,80,64,66,78
Andreas Pereira,22,Brazil,Manchester United,1400000,1,15,CM,Right,Lean,2013,5'10,157lbs,78,78,74,78,78,73,62,75,68,70,78
M. De Sciglio,25,Italy,Juventus,1050000,2,2,RB,Right,Lean,2017,6'0,172lbs,78,75,79,79,77,67,77,87,68,49,78
R. Jimonez,27,Mexico,Wolverhampton Wanderers,1200000,3,9,RS,Right,Lean,2004,6'2,179lbs,69,69,76,73,49,79,68,76,78,90,78
S. Arias,26,Colombia,Atletico Madrid,1050000,2,4,RB,Right,Normal,2018,5'10,159lbs,74,84,86,78,77,56,82,90,69,56,78
V. Moses,27,Nigeria,Chelsea,1100000,2,15,RW,Right,Normal,2012,5'10,170lbs,76,79,77,76,82,74,66,85,69,75,78
C. Bravo,35,Chile,Manchester City,240000,3,1,GK,Right,Normal,2016,6'0,176lbs,12,58,54,63,62,22,81,41,69,23,78
Sergio,31,Spain,RC Celta,650000,2,1,GK,Right,Normal,2009,5'10,165lbs,21,44,43,50,48,24,64,33,62,23,78
E. Choupo-Moting,29,Cameroon,Paris Saint-Germain,900000,2,11,ST,Right,Normal,2018,6'3,201lbs,65,76,78,76,66,77,67,76,76,68,77
D. Welbeck,27,England,Arsenal,950000,3,21,LW,Right,Normal,2014,6'1,161lbs,69,76,83,76,62,78,80,74,75,70,77
L. Baines,33,England,Everton,340000,3,3,LB,Left,Normal,2007,5'7,154lbs,84,66,59,69,83,84,67,64,55,90,77
M. Elneny,25,Egypt,Arsenal,900000,1,17,RDM,Right,Lean,2016,5'11,163lbs,66,58,60,65,62,76,69,92,68,62,77
N. M√ºller,30,Germany,Eintracht Frankfurt,850000,2,27,RM,Right,Lean,2018,5'8,146lbs,75,84,78,85,83,71,78,73,57,73,77
T. Chandler,28,United States,Eintracht Frankfurt,700000,2,22,RB,Right,Normal,2014,6'0,181lbs,77,74,79,54,52,76,69,79,82,50,77
J. Sancho,18,England,Borussia Dortmund,1450000,1,7,RM,Right,Lean,2017,5'11,168lbs,68,88,86,90,87,64,49,66,52,57,77
Munir,22,Spain,FC Barcelona,1250000,2,19,ST,Left,Lean,2015,5'9,152lbs,65,78,80,78,78,76,63,69,63,66,77
J. McCarthy,27,Republic of Ireland,Everton,750000,2,16,CDM,Right,Normal,2013,5'11,159lbs,68,60,58,64,70,67,65,69,71,60,77
M. Sissoko,28,France,Tottenham Hotspur,900000,2,17,CM,Right,Normal,2016,6'2,201lbs,75,79,81,67,58,85,78,87,88,60,77
M. Hasebe,34,Japan,Eintracht Frankfurt,270000,2,20,CB,Right,Lean,2014,5'11,159lbs,74,53,55,69,72,54,74,70,68,61,77
T. Vermaelen,32,Belgium,FC Barcelona,500000,3,3,CB,Left,Normal,2014,6'0,176lbs,63,67,64,61,56,78,90,52,79,62,77
M. Schmelzer,30,Germany,Borussia Dortmund,650000,2,29,LB,Left,Normal,2008,5'11,163lbs,73,74,78,65,63,74,75,82,75,46,77
L. Spinazzola,25,Italy,Juventus,1100000,2,37,LM,Right,Lean,2010,6'1,165lbs,76,77,83,74,61,68,76,89,72,59,77
D. Origi,23,Belgium,Liverpool,1200000,2,27,ST,Right,Normal,2014,6'1,165lbs,69,76,79,72,64,79,73,65,76,65,77
O. Yokullu,24,Turkey,RC Celta,1050000,1,5,LDM,Right,Lean,2018,6'3,190lbs,67,72,74,62,62,79,70,87,83,60,77
P. Jagielka,35,England,Everton,210000,2,6,CB,Right,Normal,2007,5'11,192lbs,55,40,51,45,61,69,81,50,77,55,77
R. Loftus-Cheek,22,England,Chelsea,1300000,1,12,CM,Right,Normal,2013,6'3,194lbs,62,68,74,73,67,64,59,75,80,45,77
M. Wolf,23,Germany,Borussia Dortmund,1200000,2,27,RM,Right,Lean,2018,6'2,181lbs,75,83,84,68,67,70,53,86,68,52,77
S. Boufal,24,Morocco,RC Celta,1150000,2,19,LM,Right,Lean,2004,5'9,148lbs,69,84,79,89,84,71,34,67,40,69,77
T. Kehrer,21,Germany,Paris Saint-Germain,1100000,1,4,RB,Left,Lean,2018,6'1,168lbs,56,74,76,69,65,65,78,74,70,36,77
D. da Costa,24,Germany,Eintracht Frankfurt,900000,1,24,RM,Right,Normal,2017,6'2,194lbs,78,77,84,68,61,65,81,79,80,40,77
F. Kostiƒá,25,Serbia,Eintracht Frankfurt,1050000,2,10,LM,Left,Normal,2005,6'0,181lbs,79,89,84,77,72,77,66,74,74,64,77
H. Winks,22,England,Tottenham Hotspur,1300000,1,17,CM,Right,Normal,2014,5'9,163lbs,65,75,70,73,78,63,51,78,63,51,77
M. Fabin,28,Mexico,Eintracht Frankfurt,900000,2,8,CAM,Right,Normal,2016,5'7,143lbs,74,69,66,86,86,81,67,71,64,75,77
Vinvicius Junior,17,Brazil,Real Madrid,1750000,1,28,LW,Right,Lean,2018,5'9,161lbs,65,92,94,90,82,74,74,79,59,65,77
M. Vorm,34,Netherlands,Tottenham Hotspur,360000,2,13,GK,Right,Normal,2014,6'0,185lbs,13,53,54,63,53,23,72,36,65,41,77
R. Bentancur,21,Uruguay,Juventus,1550000,1,6,RCM,Right,Lean,2017,6'2,159lbs,58,67,73,68,68,63,74,83,67,50,77
W. Boly,27,France,Wolverhampton Wanderers,900000,1,15,LCB,Right,Normal,2018,6'5,214lbs,50,57,69,55,45,52,62,58,93,56,77
Alberto Moreno,25,Spain,Liverpool,900000,2,18,LB,Left,Normal,2014,5'7,143lbs,78,85,87,84,87,80,86,81,61,54,77
M. Holgate,21,England,Everton,1000000,1,2,CB,Right,Lean,2015,6'0,165lbs,61,68,71,62,57,51,69,70,72,40,76
N. Radoja,25,Serbia,RC Celta,1000000,1,6,CM,Right,Normal,2014,6'1,170lbs,44,52,38,57,46,63,62,64,73,42,76
David Junct,24,Spain,RC Celta,850000,1,17,LB,Left,Normal,2018,5'9,148lbs,78,79,77,77,79,61,75,86,76,55,76
Bernat,25,Spain,Paris Saint-Germain,900000,2,14,LB,Left,Normal,2018,5'7,148lbs,79,79,78,86,88,62,73,77,55,53,76
Jesec,25,Spain,Paris Saint-Germain,950000,2,22,LM,Right,Normal,2016,5'10,159lbs,72,85,79,85,74,73,71,61,60,68,76
S. Rode,27,Germany,Borussia Dortmund,750000,2,18,CDM,Right,Normal,2016,5'10,165lbs,66,69,64,70,74,75,76,68,74,51,76
