Name,Age,Nationality,Club,Value,International Reputation,Jersey Number,Position,Preferred Foot,Body Type,Joined,Height,Weight,Crossing,Acceleration,SprintSpeed,Agility,Balance,ShotPower,Jumping,Stamina,Strength,Penalties,Overall
R. Mazdaa,24,Slovakia,RC Celta,100000,1,15,LB,Left,Normal,2018,5'11,165lbs,57,59,55,70,63,55,72,65,53,63,68
Iwin Villar,20,Spain,RC Celta,95000,1,26,GK,Right,Lean,2014,6'2,174lbs,13,32,33,38,37,21,52,30,52,23,68
Kevin,25,Spain,RC Celta,97500,1,20,RB,Right,Normal,2011,5'8,159lbs,69,70,72,63,79,51,63,74,60,46,68
Pleguezuelo,21,Spain,Arsenal,120000,1,53,CB,Right,Lean,2014,5'11,139lbs,53,71,70,73,69,38,75,61,65,43,68
Sergio Gomez,17,Spain,Borussia Dortmund,180000,1,17,CAM,Left,Lean,2018,5'7,150lbs,65,74,68,82,84,66,52,51,36,60,68
J. Zimmermann,33,Germany,Eintracht Frankfurt,45000,1,37,GK,Left,Normal,2017,6'3,194lbs,16,42,50,39,35,22,65,39,69,23,68
A. Pilkington,30,Republic of Ireland,Cardiff City,87500,1,26,ST,Right,Normal,2014,5'11,179lbs,72,63,62,68,66,74,67,58,71,65,68
S. Mraz,21,Slovakia,Empoli,140000,1,66,ST,Right,Normal,2018,6'0,172lbs,50,68,67,65,62,68,72,65,63,72,68
M. Connolly,30,England,Cardiff City,55000,1,16,RB,Right,Lean,2012,6'2,185lbs,61,55,57,41,47,63,73,64,76,38,67
D. Iorfa,23,England,Wolverhampton Wanderers,82500,1,67,RWB,Right,Lean,2013,6'4,172lbs,63,83,88,59,40,47,48,71,79,31,67
J. Rasmussen,21,Denmark,Empoli,120000,1,32,CB,Left,Lean,2018,6'3,179lbs,45,63,64,63,69,40,68,64,78,30,67
A. Gomes,17,England,Manchester United,150000,1,47,CAM,Right,Lean,2016,5'3,134lbs,61,75,69,83,90,61,55,57,32,66,67
A. Iacobucci,27,Italy,Frosinone,60000,1,91,GK,Right,Stocky,2018,6'2,181lbs,15,44,43,47,43,41,66,34,55,23,67
Oriol Busquets,19,Spain,FC Barcelona,150000,1,35,CDM,Right,Lean,2017,6'1,170lbs,56,58,57,56,63,56,54,74,69,42,67
Abel Ruiz,18,Spain,FC Barcelona,160000,1,29,ST,Right,Normal,2017,6'0,161lbs,36,69,70,67,61,64,60,68,74,64,67
B. Galloway,22,England,Everton,85000,1,36,LB,Left,Lean,2014,6'1,163lbs,54,71,77,72,63,51,64,65,67,44,67
R. Vloet,23,Netherlands,Frosinone,100000,1,4,CAM,Right,Lean,2018,6'2,165lbs,52,66,60,58,63,72,67,74,73,70,67
K. Hause,22,England,Wolverhampton Wanderers,110000,1,30,CB,Left,Normal,2014,6'3,205lbs,52,60,65,55,56,70,71,60,83,40,67
B. Baningime,19,DR Congo,Everton,150000,1,34,CDM,Right,Lean,2016,5'10,154lbs,51,51,53,64,70,61,62,56,58,48,67
M. Gibbs-White,18,England,Wolverhampton Wanderers,160000,1,17,CM,Right,Normal,2017,5'10,154lbs,52,65,63,70,69,68,57,63,54,46,67
Iban Salvador,22,Equatorial Guinea,RC Celta,110000,1,33,CAM,Left,Normal,2018,5'8,159lbs,64,85,79,88,81,71,71,72,54,58,67
Javi Sanchez,21,Spain,Real Madrid,120000,1,31,CB,Right,Lean,2016,6'2,170lbs,32,55,64,41,51,38,72,68,68,38,67
Pedro Chirivella,21,Spain,Liverpool,97500,1,68,CM,Right,Lean,2014,5'10,146lbs,52,63,66,74,65,62,52,74,64,49,66
Miranda,18,Spain,FC Barcelona,120000,1,27,LB,Left,Lean,2018,6'1,168lbs,59,65,69,59,60,49,65,69,53,44,66
C. Gomes,17,France,Manchester City,110000,1,81,CDM,Right,Lean,2018,5'11,154lbs,49,76,71,76,69,63,56,62,62,54,66
A. Beghetto,23,Italy,Frosinone,87500,1,33,LM,Left,Normal,2018,5'10,165lbs,71,69,73,69,76,58,63,74,55,58,66
Cristo Gonzalez,20,Spain,Real Madrid,120000,1,27,ST,Right,Lean,2017,5'10,163lbs,54,73,70,70,71,65,65,63,49,54,66
W. Norris,24,England,Wolverhampton Wanderers,65000,1,31,GK,Left,Lean,2017,6'3,179lbs,11,40,49,35,51,18,54,36,60,16,66
Ruben Vinagre,19,Portugal,Wolverhampton Wanderers,120000,1,29,LWB,Left,Lean,2018,5'9,141lbs,66,87,89,79,78,62,53,74,49,57,66
E. Apeh,21,Nigeria,RC Celta,110000,1,35,ST,Right,Normal,2018,5'11,154lbs,48,72,76,70,65,69,55,69,72,62,66
E. Ebanks-Landell,25,England,Wolverhampton Wanderers,67500,1,44,CB,Right,Stocky,2010,6'2,194lbs,51,55,60,54,55,66,71,61,78,36,66
Viscar Pinchi,22,Spain,Atletico Madrid,110000,1,46,LM,Right,Normal,2018,5'8,137lbs,67,69,69,73,80,65,55,48,51,47,66
D. Burniƒa,20,Germany,Borussia Dortmund,100000,1,32,CDM,Left,Lean,2015,5'11,154lbs,57,69,68,75,74,56,70,67,63,55,66
Pastrana,21,Spain,RC Celta,87500,1,34,LM,Left,Lean,2017,5'11,154lbs,64,75,70,73,62,49,56,46,48,56,65
C. Frochtl,18,Germany,FC Bayern Munchen,100000,1,36,GK,Left,Normal,2017,6'4,157lbs,10,25,23,26,23,29,40,19,63,13,65
T. Chong,18,Netherlands,Manchester United,110000,1,44,RW,Left,Lean,2017,6'0,154lbs,66,78,77,76,56,60,64,63,66,44,65
K. Harris,25,England,Cardiff City,67500,1,23,LM,Right,Stocky,2012,5'9,150lbs,61,86,78,86,87,53,75,67,58,40,65
L. Amos,21,England,Tottenham Hotspur,110000,1,40,CM,Left,Lean,2015,5'10,159lbs,57,59,64,67,71,57,65,72,62,45,65
F. Feuillassier,20,Argentina,Real Madrid,110000,1,34,LW,Right,Normal,2017,5'8,152lbs,64,68,68,67,78,72,47,62,61,50,65
Fidalgo,21,Spain,Real Madrid,87500,1,36,CM,Right,Lean,2016,5'9,150lbs,61,65,63,68,77,54,51,64,49,49,65
J. Untersee,24,Switzerland,Empoli,75000,1,27,RM,Right,Normal,2008,5'11,174lbs,67,68,68,68,68,55,76,68,53,57,65
G. Zelalem,21,United States,Arsenal,87500,1,60,CM,Right,Lean,2014,5'11,154lbs,51,65,56,65,73,51,53,60,58,56,65
E. Hamilton,19,Scotland,Manchester United,100000,1,48,CM,Left,Normal,2015,6'1,165lbs,57,60,55,62,60,70,61,66,68,51,65
C. Gribbin,19,England,Manchester United,120000,1,42,CAM,Left,Lean,2015,6'0,159lbs,62,70,68,62,66,65,54,65,60,56,65
Chumi,19,Spain,FC Barcelona,100000,1,36,CB,Right,Lean,2014,6'1,172lbs,38,57,61,49,61,47,74,62,67,50,65
Y. Adli,17,France,Paris Saint-Germain,110000,1,29,CM,Right,Lean,2018,6'1,172lbs,62,62,61,65,57,67,59,59,63,55,65
Jorge Cuenca,18,Spain,FC Barcelona,85000,1,33,CB,Left,Normal,2017,6'2,168lbs,40,57,61,59,64,55,69,66,60,44,65
E. Ampadu,17,Wales,Chelsea,110000,1,15,LDM,Right,Lean,2017,6'0,159lbs,27,62,58,56,68,52,74,60,67,33,65
R. Poole,20,Wales,Manchester United,67500,1,50,CB,Right,Normal,2015,5'11,163lbs,34,70,65,69,70,32,78,71,70,37,64
Sergio Lopez,19,Spain,Real Madrid,87500,1,32,RB,Right,Lean,2018,5'10,146lbs,63,78,79,69,72,63,61,61,51,43,64
A. Bernede,19,France,Paris Saint-Germain,75000,1,28,CAM,Left,Normal,2018,5'10,163lbs,51,65,57,68,66,62,34,48,56,59,64
A. Pinamonti,19,Italy,Frosinone,97500,1,89,ST,Right,Lean,2012,6'2,159lbs,40,54,53,64,64,65,65,48,66,65,64
Guillem Jaime,19,Spain,FC Barcelona,97500,1,38,RW,Right,Normal,2018,5'10,154lbs,63,69,68,68,75,64,52,62,51,49,64
L. Mai,18,Germany,FC Bayern Munchen,85000,1,15,CB,Right,Normal,2018,6'3,194lbs,34,54,54,43,39,48,69,64,79,41,64
Fran Garcia,18,Spain,Real Madrid,85000,1,37,LB,Left,Normal,2018,5'7,139lbs,65,79,79,68,89,47,60,66,44,39,64
T. Oakley-Boothe,18,England,Tottenham Hotspur,92500,1,46,CM,Right,Lean,2017,6'0,150lbs,48,63,67,53,51,44,59,65,60,52,64
C. Dagba,19,France,Paris Saint-Germain,87500,1,31,RB,Right,Lean,2018,5'7,137lbs,65,76,78,79,87,43,62,58,49,38,64
Diego Alende,20,Spain,RC Celta,65000,1,27,CB,Right,Normal,2016,6'0,168lbs,26,53,55,32,65,31,78,43,59,33,64
R. Williams,19,England,Manchester United,87500,1,52,CB,Right,Normal,2016,6'0,165lbs,32,72,74,58,59,43,65,41,68,49,64
K. Rimane,27,France,Paris Saint-Germain,45000,1,37,CB,Right,Normal,2014,5'11,174lbs,41,65,64,69,63,49,82,60,74,45,64
B. Murphy,35,Republic of Ireland,Cardiff City,11000,1,28,GK,Right,Normal,2016,6'0,183lbs,15,34,32,47,52,21,58,32,41,24,64
E. Smith Rowe,17,England,Arsenal,97500,1,55,LW,Right,Lean,2017,6'0,141lbs,60,78,79,73,68,69,47,61,44,64,64
O. Skipp,17,England,Tottenham Hotspur,80000,1,52,CDM,Right,Normal,2017,5'9,154lbs,52,66,65,57,61,55,61,74,61,54,64
H. Traorva,18,Ivory Coast,Empoli,92500,1,8,CAM,Right,Normal,2017,5'8,143lbs,55,66,68,79,60,59,64,63,55,50,64
E. Oelschligel,22,Germany,Borussia Dortmund,52500,1,40,GK,Right,Normal,2018,6'4,187lbs,14,39,42,34,27,24,54,29,76,18,64
E. Nketiah,19,England,Arsenal,97500,1,49,ST,Right,Lean,2015,5'9,154lbs,33,87,82,76,72,60,73,54,56,57,64
Borja Garcacs,18,Spain,Atletico Madrid,95000,1,32,ST,Right,Normal,2018,5'10,157lbs,37,68,67,66,70,72,61,55,51,63,64
Montero,19,Spain,Atletico Madrid,87500,1,35,CB,Left,Lean,2018,5'11,165lbs,42,58,63,52,66,37,69,63,57,40,64
M. Marcjanik,23,Poland,Empoli,60000,1,29,CB,Right,Normal,2018,6'1,183lbs,21,51,61,45,51,61,76,69,75,45,64
Manu Hernando,19,Spain,Real Madrid,70000,1,33,CB,Right,Normal,2017,5'11,170lbs,44,61,63,61,64,47,59,66,62,42,64
Dani Molina,22,Spain,RC Celta,67500,1,30,CDM,Left,Lean,2017,6'0,159lbs,49,53,58,66,67,59,59,52,33,55,64
D. Eckert,21,Germany,RC Celta,82500,1,32,ST,Right,Normal,2017,5'11,174lbs,35,58,48,52,61,62,64,53,77,59,64
P. Ghiglione,21,Italy,Frosinone,65000,1,2,RM,Right,Normal,2011,6'2,176lbs,63,76,78,67,59,60,41,54,65,59,63
Joaquinn,19,Spain,Atletico Madrid,70000,1,47,LM,Left,Normal,2018,5'8,150lbs,61,72,75,53,78,55,51,63,49,48,63
O. Batista Meier,17,Germany,FC Bayern Munchen,72500,1,41,LM,Right,Lean,2018,5'10,132lbs,51,76,73,75,73,54,36,59,42,58,63
A. Georgen,19,France,Paris Saint-Germain,70000,1,36,RB,Right,Lean,2017,5'8,148lbs,70,75,75,76,81,56,60,55,56,48,63
Tachi,20,Spain,Atletico Madrid,72500,1,36,CB,Right,Normal,2016,6'0,165lbs,33,60,65,35,64,41,67,55,59,30,63
C. Bramall,22,England,Arsenal,42500,1,39,LB,Left,Lean,2017,5'10,159lbs,58,88,88,74,67,55,64,64,56,34,63
Ezkieta,21,Spain,FC Barcelona,52500,1,31,GK,Right,Lean,2015,6'4,172lbs,16,41,49,36,45,26,57,41,64,24,63
Dani Gomez,19,Spain,Real Madrid,80000,1,38,ST,Right,Normal,2017,5'10,154lbs,32,66,65,70,65,59,62,51,70,57,63
J. Bohui,19,England,Manchester United,70000,1,46,ST,Right,Lean,2016,5'9,165lbs,45,75,78,71,73,59,66,62,64,64,63
Carlos Isaac,20,Spain,Atletico Madrid,62500,1,38,RB,Right,Lean,2015,6'0,163lbs,57,64,69,46,64,26,49,69,65,34,63
F. Evina,17,Germany,FC Bayern Munchen,72400,1,43,LM,Right,Stocky,2018,5'10,161lbs,59,79,77,69,78,68,61,65,71,59,63
Toni Moya,20,Spain,Atletico Madrid,80000,1,43,CM,Right,Normal,2017,5'11,165lbs,44,66,65,64,66,52,65,51,53,51,63
Robert Costa,24,Spain,RC Celta,50000,1,28,CB,Right,Normal,2016,6'0,176lbs,33,44,50,30,56,49,62,43,69,43,63
F. Hornby,18,Scotland,Everton,62500,1,45,ST,Right,Normal,2018,6'2,170lbs,35,58,54,55,62,62,63,56,69,54,62
M. Shabani,19,Germany,FC Bayern Munchen,57499,1,16,CAM,Right,Lean,2018,6'1,159lbs,53,66,62,67,63,57,48,49,56,52,62
Eric Garcia,17,Spain,Manchester City,55000,1,50,CB,Right,Lean,2017,6'0,174lbs,35,56,56,56,57,51,66,49,62,44,62
A. Solano,20,Colombia,Atletico Madrid,42500,1,33,RB,Right,Lean,2016,5'9,154lbs,61,67,66,64,73,49,62,63,52,40,62
S. Cibois,20,France,Paris Saint-Germain,55000,1,50,GK,Right,Normal,2018,6'4,181lbs,11,36,30,32,54,19,59,28,65,15,62
R. Brewster,18,England,Liverpool,70000,1,24,ST,Right,Lean,2017,5'9,165lbs,50,78,76,76,77,54,68,57,55,55,62
L. Zidane,20,France,Real Madrid,35000,1,30,GK,Right,Normal,2016,6'0,170lbs,12,33,32,36,49,15,63,38,50,19,62
A. Georgiou,21,Cyprus,Tottenham Hotspur,57499,1,42,LM,Left,Lean,2015,5'10,161lbs,69,69,72,66,68,45,45,61,52,45,62
C. Humphreys-Grant,19,England,Manchester City,60000,1,77,CB,Right,Normal,2015,6'2,176lbs,48,65,66,63,63,44,76,65,71,40,62
J. Kitolano,18,Norway,Wolverhampton Wanderers,55000,1,50,LWB,Left,Lean,2018,5'9,143lbs,64,79,79,77,80,43,84,76,53,24,62
P. Beruatto,19,Italy,Juventus,57499,1,31,LB,Left,Lean,2018,6'0,172lbs,50,63,67,54,54,57,68,54,68,43,62
C. Jones,17,England,Liverpool,55000,1,48,CM,Right,Lean,2018,6'0,150lbs,54,64,63,73,71,60,57,53,51,50,61
J. Willock,18,England,Arsenal,52500,1,59,CM,Right,Lean,2016,6'0,157lbs,44,68,74,70,72,58,55,63,62,47,61
N. Phillips,21,England,Liverpool,42500,1,47,CB,Right,Lean,2017,6'2,154lbs,30,52,52,42,57,45,64,59,70,45,61
L. Bolton,18,England,Manchester City,52500,1,74,RM,Right,Normal,2016,5'9,159lbs,62,82,78,75,69,56,61,54,61,56,61
H. Charsley,21,Republic of Ireland,Everton,37500,1,37,LM,Right,Lean,2014,5'10,141lbs,54,56,56,61,69,53,54,50,41,56,61
Alex Dos Santos,19,Brazil,Atletico Madrid,45000,1,37,GK,Right,Normal,2018,6'1,172lbs,13,22,21,23,48,13,58,45,52,15,61
M. Awoudja,20,Germany,FC Bayern Munchen,37500,1,45,CB,Right,Normal,2018,6'2,190lbs,29,66,68,53,48,46,75,63,72,42,61
Rafael Camacho,18,Portugal,Liverpool,52500,1,64,CAM,Right,Lean,2018,5'9,143lbs,58,69,68,65,75,57,50,41,46,55,61
P. Will,19,Germany,FC Bayern Munchen,52500,1,28,CM,Left,Normal,2018,6'1,170lbs,51,58,62,63,61,60,60,59,67,48,61
Ivaki Peralta,19,Spain,FC Barcelona,45000,1,30,GK,Right,Lean,2018,6'0,172lbs,10,33,28,42,51,24,63,27,54,17,61
Darcio Poveda,21,Spain,Atletico Madrid,42500,1,26,ST,Right,Lean,2018,6'1,165lbs,45,61,57,58,60,57,65,55,45,55,61
Diego Pampen,18,Spain,RC Celta,45000,1,31,LB,Left,Normal,2017,5'9,157lbs,62,68,61,60,64,40,56,60,58,43,61
A. Muric,19,Montenegro,Manchester City,45000,1,49,GK,Right,Normal,2017,6'6,179lbs,13,44,46,38,40,21,62,29,68,18,61
L. Matarese,20,Italy,Frosinone,45000,1,19,LM,Right,Normal,2017,5'9,143lbs,58,69,67,76,86,64,47,34,42,50,61
A. Whiteman,19,England,Tottenham Hotspur,45000,1,41,GK,Right,Lean,2015,6'1,168lbs,14,34,28,31,41,17,65,26,48,11,61
S. Harrison,20,England,Tottenham Hotspur,45000,1,39,ST,Left,Lean,2015,6'0,150lbs,45,75,73,73,70,57,65,63,62,63,61
K. Sterling,19,England,Tottenham Hotspur,55000,1,50,ST,Right,Normal,2017,5'11,146lbs,36,77,75,70,73,61,64,48,54,55,61
B. Gilmour,17,Scotland,Chelsea,55000,1,60,CM,Right,Lean,2018,5'8,150lbs,56,66,56,75,82,48,60,50,32,49,61
M. Taylor-Crossdale,18,England,Chelsea,52500,1,56,ST,Right,Lean,2016,6'1,170lbs,42,65,72,60,60,70,55,50,66,69,61
B. Adekanye,19,Netherlands,Liverpool,45000,1,69,RW,Left,Normal,2017,5'7,137lbs,54,75,73,68,74,63,53,55,64,52,60
D. Wanner,19,Germany,Borussia Dortmund,45000,1,41,LM,Left,Lean,2018,5'10,157lbs,64,68,67,69,67,56,59,62,52,54,60
N. Knothe,19,Germany,Eintracht Frankfurt,40000,1,35,CB,Right,Lean,2017,6'2,179lbs,29,55,55,53,58,49,65,55,66,44,60
D. Beyreuther,18,Germany,Eintracht Frankfurt,37500,1,26,LB,Left,Lean,2017,5'11,157lbs,58,67,65,68,68,45,59,60,48,54,60
L. Polvani,23,Italy,Empoli,24000,1,48,CB,Right,Normal,2017,6'2,187lbs,21,36,29,34,52,28,62,55,68,13,60
S. Lavery,19,Northern Ireland,Everton,45000,1,63,ST,Right,Normal,2017,5'9,141lbs,41,73,72,77,77,58,66,51,47,67,60
N. Mbouhom,19,Cameroon,Eintracht Frankfurt,37500,1,32,CF,Left,Stocky,2017,5'10,181lbs,36,67,69,77,78,54,59,54,53,54,60
E. Besea,21,Ghana,Frosinone,37500,1,31,CM,Right,Lean,2017,6'0,165lbs,39,64,68,71,67,55,56,67,82,51,60
Z. Medley,17,England,Arsenal,37500,1,47,CB,Right,Lean,2017,6'4,165lbs,34,54,49,49,57,41,70,58,63,43,60
B. Garrvo,17,Argentina,Manchester City,40000,1,73,LW,Left,Lean,2017,5'7,139lbs,62,74,70,77,75,59,50,60,46,58,60
Cristian Rodriguez,22,Spain,Atletico Madrid,32500,1,28,CAM,Right,Lean,2016,5'11,154lbs,54,59,58,65,67,57,62,57,62,52,60
B. Ashley-Seal,19,England,Wolverhampton Wanderers,45000,1,24,ST,Right,Normal,2017,6'2,176lbs,32,78,79,74,60,61,65,61,73,62,60
G. McEachran,17,England,Chelsea,35000,1,55,CAM,Left,Lean,2017,5'9,143lbs,55,64,60,73,74,47,48,54,36,50,59
K. Grabara,19,Poland,Liverpool,28000,1,73,GK,Right,Lean,2017,6'3,165lbs,18,40,38,38,41,21,52,29,50,17,59
J. Meier,18,Germany,FC Bayern Munchen,28999,1,23,LB,Left,Lean,2018,5'10,172lbs,53,65,58,62,59,38,60,63,63,33,59
Jo√£o Virgenia,18,Portugal,Everton,26000,1,33,GK,Right,Normal,2018,6'3,176lbs,14,50,50,30,33,25,40,16,57,12,59
Paulo Alves,20,Portugal,Wolverhampton Wanderers,26000,1,38,CM,Right,Lean,2018,5'9,159lbs,52,57,59,70,68,63,56,54,54,55,59
M. Virtue,21,England,Liverpool,25000,1,65,CDM,Right,Lean,2017,5'9,146lbs,45,70,68,77,80,63,69,56,50,56,59
Obama,18,Spain,Atletico Madrid,32500,1,27,ST,Right,Normal,2017,5'7,154lbs,52,66,59,62,79,60,56,51,51,65,59
S. vaetin,17,Germany,Eintracht Frankfurt,30000,1,30,CDM,Right,Lean,2017,5'9,154lbs,50,65,64,73,78,57,59,54,48,53,59
T. Matthews,17,South Africa,Borussia Dortmund,30000,1,50,CAM,Left,Lean,2018,5'9,154lbs,57,78,77,87,87,39,61,53,34,45,59
Mollejo,17,Spain,Atletico Madrid,30000,1,40,RW,Left,Lean,2018,5'9,141lbs,52,74,72,72,80,58,49,48,43,53,59
M. Guehi,17,England,Chelsea,23000,1,53,CB,Right,Normal,2017,6'0,165lbs,33,58,60,53,58,49,65,56,61,34,58
I. Meite,21,England,Cardiff City,21000,1,27,ST,Left,Lean,2017,6'2,159lbs,28,63,65,56,59,60,59,38,64,62,58
Pedro Gonzalves,20,Portugal,Wolverhampton Wanderers,28000,1,26,CM,Right,Lean,2017,5'8,154lbs,48,65,68,67,75,71,43,52,42,44,58
A. Bakir,17,Germany,Borussia Dortmund,25000,1,42,RM,Right,Normal,2018,5'10,152lbs,61,67,65,69,69,51,62,49,51,49,58
N. Ennis,19,England,Wolverhampton Wanderers,28000,1,45,ST,Right,Normal,2016,5'11,176lbs,29,78,79,75,76,60,56,55,64,56,58
J. Osei-Tutu,19,England,Arsenal,24000,1,52,RB,Right,Lean,2015,5'10,159lbs,49,74,78,55,65,33,62,65,63,42,58
R. Kehr,18,Germany,Borussia Dortmund,22000,1,43,ST,Left,Lean,2018,6'2,176lbs,39,69,68,62,54,53,63,55,66,58,57
A. Errico,19,Italy,Frosinone,20000,1,14,CF,Right,Lean,2018,5'10,154lbs,52,66,54,64,70,53,43,32,41,48,57
J. McKay,21,Scotland,Cardiff City,16000,1,40,ST,Left,Lean,2018,6'3,187lbs,26,51,52,52,48,59,57,62,74,56,57
T. Dele-Bashiru,18,England,Manchester City,21000,1,72,CM,Right,Normal,2017,5'10,150lbs,39,70,71,73,71,53,66,59,61,55,57
O. Buur Rasmussen,20,Denmark,Wolverhampton Wanderers,20000,1,40,RWB,Right,Lean,2017,5'9,154lbs,47,77,74,71,75,36,64,59,42,36,57
N. Pejoviƒa,19,Serbia,Empoli,18000,1,56,CB,Right,Normal,2017,6'1,174lbs,22,55,55,46,59,38,71,63,57,42,56
M. Bulka,18,Poland,Chelsea,15000,1,59,GK,Right,Lean,2016,6'6,198lbs,12,28,25,42,28,22,43,20,70,18,56
R. Giles,18,England,Wolverhampton Wanderers,17000,1,23,LWB,Left,Lean,2018,5'10,159lbs,60,87,83,77,75,57,42,58,45,49,56
A. Jakupoviƒa,20,Austria,Empoli,20000,1,19,ST,Left,Lean,2017,6'1,154lbs,30,42,40,49,54,55,69,55,65,62,56
R. Hoffmann,19,Germany,FC Bayern Munchen,16000,1,39,GK,Right,Normal,2017,6'4,185lbs,13,23,27,31,24,22,42,14,52,10,56
M. Said,18,Sweden,Empoli,20000,1,55,ST,Left,Lean,2018,5'10,152lbs,28,68,68,61,73,54,66,52,46,58,55
E. Watt,18,Scotland,Wolverhampton Wanderers,15000,1,25,CM,Right,Normal,2017,5'9,159lbs,43,68,67,67,73,55,60,58,49,47,54
A. Sunndergaard,17,Denmark,Wolverhampton Wanderers,12000,1,62,GK,Right,Lean,2018,6'2,168lbs,11,21,20,38,32,15,60,24,64,13,54
D. Grimshaw,20,England,Manchester City,12000,1,32,GK,Right,Lean,2016,6'1,170lbs,19,44,47,38,41,21,57,42,42,22,54
J. Veale,21,Wales,Cardiff City,12000,1,43,CM,Right,Lean,2015,5'8,154lbs,46,66,61,67,75,63,66,52,50,48,54
C. John,18,England,Wolverhampton Wanderers,13000,1,47,CB,Left,Normal,2017,5'11,172lbs,45,72,73,66,60,42,69,60,67,32,54
C. Coxe,19,Wales,Cardiff City,11000,1,36,RB,Right,Normal,2017,5'11,154lbs,44,68,64,56,66,32,59,53,56,27,53
J. Waite,19,Wales,Cardiff City,13000,1,35,CM,Right,Normal,2017,5'9,134lbs,33,63,65,67,78,57,53,53,33,45,53
C. Brown,20,England,Cardiff City,8000,1,37,CB,Left,Normal,2018,6'1,168lbs,45,63,63,61,54,56,67,52,68,37,52
G. Meli,19,Italy,Empoli,9000,1,12,GK,Left,Normal,2016,6'2,165lbs,14,28,31,38,34,21,44,18,53,18,52